Reynolds,HistoryEnd,TargetStep,JumpType,TransitionLabel,RMSE,Divergence_RMSE,KE_1,KE_u,KE_v,KE_w,KE_u^2,KE_u v,KE_u w,KE_v^2,KE_v w,KE_w^2,KE_MSE,Helicity_1,Helicity_u,Helicity_v,Helicity_w,Helicity_wx,Helicity_wy,Helicity_wz,Helicity_u^2,Helicity_u v,Helicity_u w,Helicity_u wx,Helicity_u wy,Helicity_u wz,Helicity_v^2,Helicity_v w,Helicity_v wx,Helicity_v wy,Helicity_v wz,Helicity_w^2,Helicity_w wx,Helicity_w wy,Helicity_w wz,Helicity_wx^2,Helicity_wx wy,Helicity_wx wz,Helicity_wy^2,Helicity_wy wz,Helicity_wz^2,Helicity_MSE,Enstrophy_1,Enstrophy_wx,Enstrophy_wy,Enstrophy_wz,Enstrophy_wx^2,Enstrophy_wx wy,Enstrophy_wx wz,Enstrophy_wy^2,Enstrophy_wy wz,Enstrophy_wz^2,Enstrophy_MSE
3.6,1,2,Jump 1,T1-1->T2,0.004821264309498,0.0004554820940859,5.96496735585724e-17,3.2009855074969966e-17,6.211938471916815e-16,3.8169465301932794e-16,0.5000000000000008,-1.0897839364438818e-14,-7.204156436698025e-15,0.4999999999999951,-1.7725692854292922e-16,0.4999999999999987,3.9997225435054016e-33,-9.497452776673837e-19,-5.101480614542466e-17,4.593412865219447e-15,5.755128326706625e-16,2.0929508376238256e-15,3.5831180785744176e-17,-1.1448639182282706e-17,1.3070237995760013e-15,-8.95135972168059e-14,-6.248696225944096e-15,0.9999999999999876,1.225657841508226e-15,-2.618085829888867e-15,-1.0949986686129421e-13,-5.717718609031347e-14,1.8484155577750456e-14,1.0000000000001763,1.1920564645686685e-13,-8.982938290628375e-14,1.0233618760790639e-15,-5.956581181749955e-15,1.0000000000000768,5.0150498236207483e-14,-1.1181571180046428e-13,-5.508245394825637e-13,-1.0121813548412405e-15,2.8050694273144218e-15,-1.0086724783306478e-14,4.513559165185859e-36,1.2890665848936972e-19,-9.54503408018512e-17,3.962371018528815e-17,1.38734107447946e-18,0.4999999999999974,-1.1196559649828445e-15,8.311666977339473e-15,0.5000000000000004,1.418424662600934e-17,0.4999999999999998,6.648532712967159e-38
3.6,2,3,Jump 1,T1-2->T3,0.0045030503723752,0.0004760646974034,5.511357671001176e-17,-1.3951209515499326e-16,-1.8647363878632516e-16,7.946259327056853e-17,0.5000000000000026,1.582888725445126e-15,-8.338298737727134e-16,0.4999999999999924,-5.635911619912586e-16,0.5000000000000014,3.0741010844250898e-33,-7.727754836244176e-19,-4.843441185427961e-17,8.080020086528647e-16,4.639051915008431e-16,-3.4691722514078165e-15,3.635105654041945e-17,-1.688177677347297e-16,1.39585456927299e-15,-1.7669705377883513e-14,-1.0497181450539774e-14,1.000000000000092,3.9205634362228216e-16,2.910377724949904e-15,-6.980966505844255e-14,-6.240610460251683e-14,1.5170009163086234e-14,1.0000000000000615,1.1400562016994893e-13,-5.85203803878777e-14,2.5398083303971305e-14,-1.5578452179353414e-14,1.0000000000000175,6.354938426382812e-14,5.6269597007957883e-14,-3.6237170445362995e-13,-2.1992726804133306e-15,5.133622351282838e-15,-7.364953277989821e-15,3.2269989145758333e-36,1.475117432197942e-19,2.271180364678537e-16,5.624916752302176e-17,5.866602199957026e-18,0.4999999999999867,-4.636141767654166e-16,-2.099847736533568e-15,0.5000000000000002,1.0740113740259159e-16,0.4999999999999995,1.188605617217132e-37
3.6,3,4,Jump 1,T1-3->T4,0.0043360375689429,0.0004724926893952,4.9216650806882926e-17,9.908854151266544e-18,-8.320176908139546e-16,-7.839002461435301e-16,0.5000000000000001,1.3741131589191447e-14,1.2211993338193078e-14,0.4999999999999969,3.046704026074825e-15,0.5000000000000037,2.490232571513514e-33,-2.553769368354695e-19,2.970251146362685e-16,-6.504303756009265e-16,-6.244982501853709e-15,-2.7213126824999258e-15,-1.983969380195644e-17,-1.3727388792512695e-16,-5.181148706520417e-15,9.353679937466868e-15,1.1610676768235446e-13,1.000000000000071,2.861310477892988e-15,1.752208603409563e-15,-3.4697970915717715e-14,4.5734727205001263e-14,-7.408370280438765e-15,0.9999999999999428,3.799040196701699e-14,-8.562323203077632e-14,1.0003901732696284e-14,-7.861206379349343e-14,1.0000000000000342,4.7154690888684817e-14,6.393045989585577e-14,-2.4751108902292644e-13,7.731665473239212e-17,4.629965446848165e-15,-6.3919579061527185e-15,1.2435897098587038e-36,1.7541937031543093e-19,4.887855671210954e-17,-1.6770790062736902e-17,6.415509838470129e-18,0.5000000000000087,-3.3327311402379816e-16,3.5916490057574004e-15,0.5000000000000006,3.572600665310829e-17,0.4999999999999996,3.715435352248745e-38
3.6,4,5,Jump 1,T1-4->T5,0.0042829751266295,0.0004537597569678,5.148469923116325e-17,1.9337770007049036e-18,-2.0185142419602142e-16,-2.947857625186221e-16,0.5000000000000002,2.974885148650919e-15,2.4372621231968033e-15,0.4999999999999971,-2.34398892727752e-15,0.5000000000000007,2.6805882083711724e-33,-9.091885462767876e-19,6.450214874138209e-16,-2.5702361010546728e-15,-1.7697550763163678e-14,1.1381605587095084e-16,-9.021280277110412e-17,-2.426451357835673e-17,-1.1313841128366743e-14,3.8581815512641417e-14,3.276774318220806e-13,0.9999999999999888,1.2123409080875523e-14,9.491756022142773e-16,3.0069484922037214e-14,1.989094667022631e-13,3.803501006340874e-15,0.9999999999997692,-8.667015605725395e-15,-2.0217153955651289e-13,-1.4926529428866146e-14,-2.5783767079513965e-13,0.999999999999955,6.64636039457699e-14,3.7007032163041434e-13,-6.741194268842105e-13,1.5027074047956356e-14,1.4923181216649947e-14,-2.2604687493572707e-14,9.497647133220574e-36,9.656924931506046e-20,-2.8856529705713115e-16,4.491505752848628e-17,-1.742957845512933e-17,0.4999999999999896,-1.9522757113985556e-15,4.729837228318515e-15,0.5000000000000007,-2.944142358748688e-16,0.5000000000000006,9.748324530396808e-38
3.6,5,6,Jump 1,T1-5->T6,0.0045502695269646,0.0004370712115061,5.103108954630718e-17,1.0339848654733987e-16,-4.5983975413157184e-18,-1.5606819509767234e-16,0.5000000000000007,-1.134355051074236e-15,7.743031414092149e-16,0.4999999999999915,2.908188665584388e-15,0.5000000000000044,3.31033656720415e-33,-2.3699334120897868e-20,1.0308466393861404e-15,5.8756952277031065e-15,-1.8409320391681e-14,4.520563879156391e-15,-6.685091723000863e-17,1.2945331492264874e-16,-1.7839858106567548e-14,-1.1805153750494349e-13,3.2500972693873933e-13,0.9999999999998994,2.5314877233862348e-15,-7.76922846450058e-15,-4.4012647141637883e-14,1.731457140616149e-13,1.1280173098739276e-14,0.9999999999999714,1.876270494025904e-13,-1.238706126673948e-13,-1.1243570524331531e-13,-2.9614784135353035e-14,1.000000000000094,2.8745062699164135e-14,2.231910444444119e-13,-2.0014535185169237e-13,7.084348092972031e-15,1.4751451041197602e-14,-5.297665720062585e-15,3.3874358613106235e-36,1.4618280859619244e-19,-2.511734556151216e-16,-1.0046098288909102e-17,-2.947748680690005e-18,0.499999999999993,-1.3963917485174333e-18,-6.505379786508075e-15,0.5000000000000004,3.090497491449634e-17,0.5000000000000001,5.21793479230591e-38
3.6,6,7,Jump 1,T1-6->T7,0.0044782024587166,0.0004385216156534,5.670121060700799e-17,-1.215684011952709e-17,1.2350440688948132e-16,-6.431278732302525e-17,0.5,-2.3318096487160192e-15,-2.436622868813062e-17,0.4999999999999936,5.112932236615967e-15,0.5000000000000104,3.143427956881556e-33,-4.611403143898073e-19,1.4468017619208239e-15,1.3642057923347532e-14,-2.5141651396405312e-14,-4.7229530072792016e-15,2.0894340717113686e-16,-1.5156204509923998e-17,-2.5675308998286976e-14,-2.390486199792249e-13,4.603414814599028e-13,1.000000000000102,-1.3196537722598967e-14,-2.7619807892479555e-14,1.452752362349008e-13,2.659726621794047e-15,4.1438337942591216e-14,0.9999999999999782,9.278413873882015e-15,-2.45903759311351e-13,-1.1341719521964425e-13,2.1008407638291437e-13,1.000000000000722,7.981521345467071e-15,3.332721425117711e-14,7.546624492778547e-14,-7.662422965006733e-15,-1.2521396565065327e-14,-6.959972794595502e-15,1.0399752851261229e-35,2.2237506034935944e-19,9.022603379728016e-17,-1.630469379846217e-16,4.6708223980956685e-17,0.4999999999999835,-1.029750884467948e-15,7.437332191114227e-16,0.4999999999999993,3.279059756989279e-17,0.4999999999999997,8.427373602585655e-37
3.6,7,8,Jump 1,T1-7->T8,0.0041470808021559,0.0004449590748989,5.103108954630718e-17,-5.845061726908957e-19,2.2123480875644827e-16,-5.649617399548037e-17,0.5000000000000003,-4.536959617768673e-15,5.152854304997926e-16,0.4999999999999944,4.547530629961711e-15,0.5000000000000056,2.6880131799247937e-33,-3.1141368013067664e-19,4.983107203274067e-16,5.697171069471928e-15,-8.66202577469572e-15,2.557094088182279e-15,5.934013539718243e-17,2.2168569497663862e-16,-8.88459540676085e-15,-1.0433205423687565e-13,1.5944382430457013e-13,0.9999999999999482,-5.651399917757161e-15,-2.1554879137783196e-14,3.5925424671625997e-14,2.5749381534268375e-14,2.8695558234893853e-14,1.0000000000000884,-2.777033774873676e-14,-9.721097037770464e-14,-3.694482148093552e-14,1.0540862225875917e-13,1.0000000000003906,-1.0148065372347843e-14,2.1400978550279144e-14,1.6074951103069728e-13,-2.4305634129553932e-15,-1.0635557523902898e-14,3.7560925261242406e-15,2.9275786642360347e-36,1.3510835339951121e-19,-6.886206573957374e-17,8.523243021236354e-17,-7.573979080767919e-18,0.4999999999999635,-1.4518961234768105e-15,-2.03708401281509e-15,0.5000000000000004,-3.4007126678538225e-17,0.5,2.280300759243002e-37
3.6,1,3,Jump 2,T1-1->T3,0.0055262247193352,0.0003808462556288,7.552601252853461e-17,-1.0674733833737309e-17,9.165014805487022e-16,5.174223484262117e-16,0.5000000000000008,-1.7301370752630773e-14,-1.1979948647439064e-14,0.5000000000000104,1.558208079307138e-14,0.4999999999999979,5.91159946967349e-33,-2.671020162749558e-19,2.8728512462454596e-16,5.617739061124153e-15,-3.3669497869845268e-15,7.863936842500963e-17,4.5785654337212226e-17,-8.19302681660842e-18,-4.590450715760381e-15,-9.384158490865617e-14,5.835337228734036e-14,1.0000000000000209,-2.8792372555326865e-15,-2.3700155724423613e-15,-9.985798451226945e-14,-7.314080187769663e-14,5.460715853548181e-16,1.0000000000000764,3.0445998854885894e-14,-8.461348472051182e-14,2.8736172943060596e-15,6.989101169025812e-14,1.0000000000000837,1.635581525084715e-14,-1.35509229889975e-13,-2.292711607097094e-13,-3.780589292580268e-15,-5.436683696985391e-15,-5.252414751646848e-15,1.239506607045931e-36,2.4895375282139442e-19,-1.029829984513896e-16,9.098023696839112e-17,-2.1279864107107074e-17,0.5000000000000847,1.5767821732950804e-15,-7.344585249650002e-16,0.4999999999999997,1.743725676778406e-16,0.4999999999999996,3.220248975290982e-37
3.6,2,4,Jump 2,T1-2->T4,0.0050073478420498,0.000400811832829,6.441257524956107e-17,2.1280621423440293e-17,-5.438799426468146e-16,-6.100850660462839e-16,0.4999999999999995,9.9061883141751e-15,9.60039431550456e-15,0.4999999999999884,-4.776370814816005e-15,0.5000000000000042,4.108813693915848e-33,-1.3898441271834963e-19,3.1301608317535637e-16,3.565801453892595e-15,-4.6872276275596776e-15,1.1002853078781385e-15,1.228861375917789e-18,5.10148351252037e-17,-5.428638330884838e-15,-6.112347832663475e-14,9.286542289899158e-14,0.9999999999999784,-5.158130301389306e-16,-2.1829866289264544e-15,-5.2357182572356723e-14,-7.976644417779995e-14,-3.529106849630482e-15,1.0000000000000997,-3.48837606127779e-14,-1.789122250706254e-13,1.7139975076697044e-14,2.6357174568269e-14,1.0000000000000333,-1.3461828677425844e-15,-1.165345420047568e-13,7.510047102509855e-14,-1.5291796989493909e-15,-5.046169905630577e-15,2.693401824201628e-15,6.3860458776768375e-37,1.9136658579865194e-19,2.4694197403210693e-16,-2.106673521022105e-17,1.5914286190504648e-17,0.4999999999999144,-1.6175946871766608e-15,-1.7205899975195569e-15,0.4999999999999999,-1.0191709709380488e-16,0.4999999999999999,5.153068037774181e-38
3.6,3,5,Jump 2,T1-3->T5,0.0048249271092679,0.0003976857619042,5.987647840100042e-17,-8.700803364274295e-17,1.3188819510018172e-15,7.222360548429626e-16,0.500000000000002,-2.349442582481308e-14,-1.3723318563275848e-14,0.5000000000000041,1.1259692857221262e-14,0.4999999999999979,3.7297444116613184e-33,-1.0801054584013178e-19,3.984375743340269e-16,4.059533281611084e-15,-7.15802614648283e-15,-7.184880112684325e-16,1.552638813439032e-17,-1.4213488564693106e-18,-7.028978303542824e-15,-6.98747026503135e-14,1.322862267393316e-13,1.00000000000002,-1.0851937014319576e-16,-6.315633509591351e-16,4.423415658526711e-14,1.0255056900031143e-14,-8.184367819202639e-15,0.999999999999966,-7.138442588638404e-14,-1.1441401772672236e-13,3.0198856651153084e-14,2.2824587880985007e-15,1.0000000000000506,-1.920436774568686e-15,-1.3257374879317404e-14,2.8516659994951085e-14,-4.836761214562189e-16,-1.701109987522265e-15,-6.5804902084699975e-16,5.30172919525875e-37,1.306785713208387e-19,-2.7601554457736743e-16,4.900205142926467e-17,-2.642994949443921e-17,0.5000000000001241,-1.674012166355783e-15,7.551575033228601e-15,0.5000000000000004,1.5615001090726736e-16,0.5000000000000003,1.3174960981329752e-37
