t_context,c_density,mean_rmse
1,5,0.00015719741
1,10,0.00015719741
1,15,0.00015719741
1,20,0.00015719741
1,26,0.00015719741
6,5,4.2146406e-05
6,10,4.2146406e-05
6,15,4.2146406e-05
6,20,4.2146406e-05
6,26,4.2146406e-05
12,5,0.00011300282
12,10,0.00011300282
12,15,0.00011300282
12,20,0.00011300282
12,26,0.00011300282
24,5,9.4193085e-05
24,10,9.4193085e-05
24,15,9.4193085e-05
24,20,9.4193085e-05
24,26,9.4193085e-05
48,5,0.00010246134
48,10,0.00010246134
48,15,0.00010246134
48,20,0.00010246134
48,26,0.00010246134
60,5,9.122837e-05
60,10,9.122837e-05
60,15,9.122837e-05
60,20,9.122837e-05
60,26,9.122837e-05
