position,x,y,z,rmse_vx,rmse_vy,rmse_vz,sample_count,mean_vx,mean_vy,mean_vz
"(-121, 67, -29)",-121,67,-29,0.00048000723,0.0011673291,0.0040751337,5,0.64299524,0.44348067,0.4293762
"(-121, 67, -25)",-121,67,-25,0.0007496013,0.0012152399,0.0045687086,10,0.64375323,0.4442225,0.42922378
"(-121, 67, -21)",-121,67,-21,0.001128681,0.0010125227,0.004818525,15,0.6443355,0.4452621,0.429176
"(-121, 67, -17)",-121,67,-17,0.0014886997,0.000885611,0.0049595768,20,0.644629,0.44624728,0.42917252
"(-121, 67, -13)",-121,67,-13,0.0017605441,0.0009374588,0.004957298,25,0.64466494,0.44709152,0.4292268
"(-121, 71, -29)",-121,71,-29,0.00039089474,0.0007544252,0.003926822,4,0.6428754,0.44428724,0.4281089
"(-121, 71, -25)",-121,71,-25,0.0003711074,0.00079736457,0.004383855,8,0.64334464,0.4449891,0.4277589
"(-121, 71, -21)",-121,71,-21,0.00060646515,0.00066294445,0.0046145627,12,0.6436414,0.44609746,0.42762485
"(-121, 71, -17)",-121,71,-17,0.0008521767,0.0006495013,0.004727372,16,0.6437295,0.44708925,0.42759937
"(-121, 71, -13)",-121,71,-13,0.0010738607,0.00084588816,0.004719413,20,0.643625,0.44789672,0.42770648
"(-121, 75, -29)",-121,75,-29,0.00068796513,0.00033339584,0.0032388638,3,0.6419785,0.44537643,0.4266517
"(-121, 75, -25)",-121,75,-25,0.0005897816,0.00053227675,0.0035487013,6,0.64220685,0.44596872,0.42609218
"(-121, 75, -21)",-121,75,-21,0.0007203717,0.00050213106,0.0037600144,9,0.6422857,0.4470892,0.42588097
"(-121, 75, -17)",-121,75,-17,0.00084657304,0.0005375162,0.0038790517,12,0.6421786,0.4479874,0.42584148
"(-121, 75, -13)",-121,75,-13,0.0009807202,0.0008349142,0.0038982858,15,0.6419251,0.44866702,0.42601338
"(-121, 79, -29)",-121,79,-29,0.00020065904,0.00047867,0.0018300563,2,0.64077485,0.4463529,0.4252271
"(-121, 79, -25)",-121,79,-25,0.00042994414,0.0004699993,0.0022078836,4,0.6407082,0.4470171,0.42458802
"(-121, 79, -21)",-121,79,-21,0.00070557656,0.00049970835,0.0023503336,6,0.6406327,0.4480081,0.4243009
"(-121, 79, -17)",-121,79,-17,0.00081578904,0.0006157907,0.0025555145,8,0.6404023,0.44876757,0.4243083
