epoch,total_loss,mse,time
1,5278.6275,4981.1871,"03/11/2023, 15:51:51"
2,2328.7821,1642.39,"03/11/2023, 15:51:53"
3,350.2433,102.2546,"03/11/2023, 15:51:56"
4,16.9459,0.8275,"03/11/2023, 15:51:58"
5,0.9971,0.215,"03/11/2023, 15:52:01"
6,0.3517,0.1851,"03/11/2023, 15:52:03"
7,0.2774,0.1881,"03/11/2023, 15:52:06"
8,0.2538,0.19,"03/11/2023, 15:52:09"
9,0.257,0.205,"03/11/2023, 15:52:11"
10,0.1916,0.1469,"03/11/2023, 15:52:14"
11,0.2178,0.1775,"03/11/2023, 15:52:16"
12,40.2736,5.556,"03/11/2023, 15:52:19"
13,16.215,0.7908,"03/11/2023, 15:52:21"
14,102.7396,13.2275,"03/11/2023, 15:52:24"
15,36.3152,1.5935,"03/11/2023, 15:52:27"
16,20.4857,1.1572,"03/11/2023, 15:52:29"
17,24.3458,2.8289,"03/11/2023, 15:52:32"
18,9.598,0.4591,"03/11/2023, 15:52:34"
19,4.1655,0.3799,"03/11/2023, 15:52:37"
20,2.7473,0.4102,"03/11/2023, 15:52:39"
21,1.973,0.4272,"03/11/2023, 15:52:42"
22,18.2878,2.8228,"03/11/2023, 15:52:45"
23,1.8204,0.8505,"03/11/2023, 15:52:47"
24,1.5642,1.1625,"03/11/2023, 15:52:50"
25,0.8638,0.6663,"03/11/2023, 15:52:52"
26,0.8544,0.7444,"03/11/2023, 15:52:55"
27,2.4523,2.3572,"03/11/2023, 15:52:57"
28,0.7642,0.6886,"03/11/2023, 15:53:00"
29,0.6483,0.5886,"03/11/2023, 15:53:02"
30,0.5745,0.5245,"03/11/2023, 15:53:05"
31,0.4911,0.4475,"03/11/2023, 15:53:08"
32,0.4391,0.3975,"03/11/2023, 15:53:10"
33,0.4176,0.3772,"03/11/2023, 15:53:13"
34,0.3098,0.2716,"03/11/2023, 15:53:15"
35,0.3999,0.3316,"03/11/2023, 15:53:18"
36,30.0543,3.5203,"03/11/2023, 15:53:20"
37,1.4184,0.7408,"03/11/2023, 15:53:23"
38,5.6254,0.8723,"03/11/2023, 15:53:25"
39,10.8256,1.176,"03/11/2023, 15:53:28"
40,1.9061,0.6902,"03/11/2023, 15:53:31"
41,1.162,0.6464,"03/11/2023, 15:53:33"
42,0.8139,0.4837,"03/11/2023, 15:53:36"
43,0.7004,0.4566,"03/11/2023, 15:53:38"
44,0.6526,0.4632,"03/11/2023, 15:53:41"
45,16.8688,2.9301,"03/11/2023, 15:53:43"
46,6.2166,0.4874,"03/11/2023, 15:53:46"
47,4.2598,1.0856,"03/11/2023, 15:53:48"
48,2.4356,0.301,"03/11/2023, 15:53:51"
49,2.2741,0.745,"03/11/2023, 15:53:54"
50,1.4245,0.2758,"03/11/2023, 15:53:56"
51,1.5143,0.6189,"03/11/2023, 15:53:59"
52,0.9655,0.2515,"03/11/2023, 15:54:01"
53,1.3803,0.7975,"03/11/2023, 15:54:04"
54,0.7001,0.2175,"03/11/2023, 15:54:06"
55,0.9349,0.5349,"03/11/2023, 15:54:09"
56,1.3037,0.9694,"03/11/2023, 15:54:12"
57,0.5019,0.1938,"03/11/2023, 15:54:14"
58,0.6117,0.3777,"03/11/2023, 15:54:17"
59,0.5658,0.3728,"03/11/2023, 15:54:19"
60,3.505,0.8076,"03/11/2023, 15:54:22"
61,2.815,1.1963,"03/11/2023, 15:54:24"
62,3.4851,0.6979,"03/11/2023, 15:54:27"
63,2.48,0.4497,"03/11/2023, 15:54:30"
64,1.0514,0.41,"03/11/2023, 15:54:32"
65,0.982,0.6382,"03/11/2023, 15:54:35"
66,0.5791,0.3683,"03/11/2023, 15:54:37"
67,0.9591,0.8221,"03/11/2023, 15:54:40"
68,0.2495,0.1567,"03/11/2023, 15:54:43"
69,0.5344,0.4692,"03/11/2023, 15:54:45"
70,0.3548,0.3059,"03/11/2023, 15:54:48"
71,2.0214,0.5195,"03/11/2023, 15:54:50"
72,0.9609,0.5017,"03/11/2023, 15:54:53"
73,0.5731,0.3964,"03/11/2023, 15:54:55"
74,0.4372,0.3531,"03/11/2023, 15:54:58"
75,0.4336,0.3832,"03/11/2023, 15:55:01"
76,0.6221,0.5683,"03/11/2023, 15:55:03"
77,9.4872,2.2424,"03/11/2023, 15:55:06"
78,3.3422,0.1875,"03/11/2023, 15:55:08"
79,1.7732,0.1701,"03/11/2023, 15:55:11"
80,1.3085,0.3927,"03/11/2023, 15:55:13"
81,0.9217,0.3745,"03/11/2023, 15:55:16"
82,0.7238,0.3781,"03/11/2023, 15:55:19"
83,0.6918,0.4622,"03/11/2023, 15:55:21"
84,0.5175,0.3542,"03/11/2023, 15:55:24"
85,0.554,0.4158,"03/11/2023, 15:55:26"
86,2.2135,0.5644,"03/11/2023, 15:55:29"
87,1.6288,0.3878,"03/11/2023, 15:55:31"
88,3.6399,0.9671,"03/11/2023, 15:55:34"
89,2.1557,0.6398,"03/11/2023, 15:55:36"
90,1.2627,0.1721,"03/11/2023, 15:55:39"
91,1.1736,0.3186,"03/11/2023, 15:55:41"
92,2.0979,0.7176,"03/11/2023, 15:55:44"
93,0.8443,0.1308,"03/11/2023, 15:55:47"
94,1.0049,0.4649,"03/11/2023, 15:55:49"
95,0.8721,0.4184,"03/11/2023, 15:55:52"
96,3.2277,0.7347,"03/11/2023, 15:55:54"
97,1.2109,0.1324,"03/11/2023, 15:55:57"
98,1.2467,0.4539,"03/11/2023, 15:56:00"
99,0.9386,0.2949,"03/11/2023, 15:56:02"
100,0.8583,0.3138,"03/11/2023, 15:56:05"
