epoch,total_loss,mse,time
1,2110.839,1674.8203,"03/15/2023, 21:08:27"
2,6.0355,2.0231,"03/15/2023, 21:08:32"
3,0.9123,0.7414,"03/15/2023, 21:08:37"
4,70.8511,13.3979,"03/15/2023, 21:08:42"
5,2.9244,0.9563,"03/15/2023, 21:08:47"
6,1.3629,0.8339,"03/15/2023, 21:08:52"
7,0.9948,0.7941,"03/15/2023, 21:08:57"
8,9.7766,2.0661,"03/15/2023, 21:09:01"
9,0.9508,0.7388,"03/15/2023, 21:09:06"
10,0.8267,0.7967,"03/15/2023, 21:09:11"
11,1.2119,0.8938,"03/15/2023, 21:09:16"
12,3.435,1.2495,"03/15/2023, 21:09:21"
13,1.6081,0.9327,"03/15/2023, 21:09:26"
14,0.9528,0.8415,"03/15/2023, 21:09:31"
15,3.9508,1.2439,"03/15/2023, 21:09:35"
16,1.4982,0.3183,"03/15/2023, 21:09:40"
17,0.5682,0.3402,"03/15/2023, 21:09:45"
18,0.2437,0.2055,"03/15/2023, 21:09:50"
19,0.2523,0.2312,"03/15/2023, 21:09:55"
20,1.1714,0.4753,"03/15/2023, 21:09:59"
21,0.9935,0.3711,"03/15/2023, 21:10:04"
22,3.4857,0.7901,"03/15/2023, 21:10:09"
23,2.836,0.4748,"03/15/2023, 21:10:14"
24,1.1965,0.3854,"03/15/2023, 21:10:19"
25,0.655,0.2979,"03/15/2023, 21:10:24"
26,0.7029,0.375,"03/15/2023, 21:10:29"
27,1.1128,0.4173,"03/15/2023, 21:10:34"
28,0.7074,0.2716,"03/15/2023, 21:10:38"
29,0.84,0.4282,"03/15/2023, 21:10:43"
30,0.3684,0.2273,"03/15/2023, 21:10:48"
31,0.6312,0.3371,"03/15/2023, 21:10:53"
32,0.3517,0.213,"03/15/2023, 21:10:58"
33,0.2536,0.1956,"03/15/2023, 21:11:03"
34,0.2315,0.2099,"03/15/2023, 21:11:07"
35,0.7521,0.3535,"03/15/2023, 21:11:12"
36,0.475,0.3229,"03/15/2023, 21:11:17"
37,0.4329,0.2124,"03/15/2023, 21:11:22"
38,0.3352,0.2358,"03/15/2023, 21:11:27"
39,0.7231,0.5818,"03/15/2023, 21:11:32"
40,0.9995,0.2407,"03/15/2023, 21:11:37"
41,0.4623,0.1566,"03/15/2023, 21:11:42"
42,0.2888,0.1858,"03/15/2023, 21:11:47"
43,0.2641,0.2109,"03/15/2023, 21:11:52"
44,0.5384,0.2489,"03/15/2023, 21:11:57"
45,0.8224,0.3073,"03/15/2023, 21:12:02"
46,0.3849,0.1814,"03/15/2023, 21:12:06"
47,0.345,0.2638,"03/15/2023, 21:12:11"
48,0.96,0.4635,"03/15/2023, 21:12:16"
49,0.4067,0.0925,"03/15/2023, 21:12:21"
50,0.2675,0.1693,"03/15/2023, 21:12:26"
51,0.7078,0.2946,"03/15/2023, 21:12:31"
52,0.3451,0.1285,"03/15/2023, 21:12:36"
53,0.2778,0.1688,"03/15/2023, 21:12:41"
54,0.1978,0.1379,"03/15/2023, 21:12:46"
55,0.1806,0.1467,"03/15/2023, 21:12:51"
56,0.1995,0.1792,"03/15/2023, 21:12:56"
57,1.091,0.2728,"03/15/2023, 21:13:01"
58,0.6583,0.1924,"03/15/2023, 21:13:06"
59,0.4059,0.19,"03/15/2023, 21:13:11"
60,0.2802,0.1433,"03/15/2023, 21:13:15"
61,0.4625,0.1543,"03/15/2023, 21:13:20"
62,0.2647,0.1504,"03/15/2023, 21:13:25"
63,0.2047,0.1474,"03/15/2023, 21:13:30"
64,0.1661,0.1311,"03/15/2023, 21:13:36"
65,0.4343,0.1937,"03/15/2023, 21:13:41"
66,0.5129,0.1508,"03/15/2023, 21:13:46"
67,0.2691,0.1298,"03/15/2023, 21:13:52"
68,0.2859,0.1504,"03/15/2023, 21:13:56"
69,0.1843,0.1437,"03/15/2023, 21:14:01"
70,0.1249,0.1062,"03/15/2023, 21:14:06"
71,0.2035,0.1409,"03/15/2023, 21:14:11"
72,0.1658,0.1371,"03/15/2023, 21:14:16"
73,0.1265,0.1169,"03/15/2023, 21:14:21"
74,0.1896,0.1315,"03/15/2023, 21:14:26"
75,0.2333,0.1302,"03/15/2023, 21:14:31"
76,0.2875,0.1238,"03/15/2023, 21:14:36"
77,0.331,0.1491,"03/15/2023, 21:14:41"
78,0.2647,0.114,"03/15/2023, 21:14:46"
79,0.1712,0.1295,"03/15/2023, 21:14:51"
80,0.1753,0.1139,"03/15/2023, 21:14:55"
81,0.1274,0.116,"03/15/2023, 21:15:00"
82,0.1771,0.1051,"03/15/2023, 21:15:05"
83,0.4485,0.1611,"03/15/2023, 21:15:10"
84,0.2761,0.1414,"03/15/2023, 21:15:15"
85,0.5061,0.1301,"03/15/2023, 21:15:20"
86,0.2454,0.1152,"03/15/2023, 21:15:25"
87,0.2417,0.1211,"03/15/2023, 21:15:30"
88,0.1932,0.1144,"03/15/2023, 21:15:35"
89,0.2568,0.1248,"03/15/2023, 21:15:40"
90,0.1756,0.1152,"03/15/2023, 21:15:45"
91,0.2617,0.1341,"03/15/2023, 21:15:49"
92,0.2419,0.1355,"03/15/2023, 21:15:54"
93,0.1285,0.0983,"03/15/2023, 21:15:59"
94,0.1461,0.118,"03/15/2023, 21:16:04"
95,0.1172,0.1027,"03/15/2023, 21:16:09"
96,0.1289,0.1117,"03/15/2023, 21:16:14"
97,0.3111,0.1288,"03/15/2023, 21:16:19"
98,0.319,0.1106,"03/15/2023, 21:16:24"
99,0.2141,0.1086,"03/15/2023, 21:16:30"
100,0.1863,0.1138,"03/15/2023, 21:16:34"
