epoch,dis_loss,gen_loss,dis_accuracy,dis_recall,dis_precision,gen_mse,time
1,1.8236,6.3883,0.4915,0.6497,0.6744,8.7072,"03/13/2023, 14:46:17"
2,1.389,4.9194,0.4766,0.6892,0.6103,1.1035,"03/13/2023, 14:46:40"
3,1.3657,2.6153,0.4783,0.7149,0.5946,0.2234,"03/13/2023, 14:47:02"
4,1.3839,0.8465,0.4779,0.7136,0.6003,0.0136,"03/13/2023, 14:47:25"
5,1.3896,0.7056,0.4805,0.6778,0.6375,0.0037,"03/13/2023, 14:47:48"
6,1.3885,0.7089,0.4719,0.643,0.665,0.0037,"03/13/2023, 14:48:11"
7,1.3877,0.7117,0.4717,0.6432,0.6647,0.0031,"03/13/2023, 14:48:34"
8,1.3872,0.7163,0.4354,0.576,0.6671,0.0026,"03/13/2023, 14:48:57"
9,1.3871,0.7204,0.4284,0.5576,0.6806,0.0022,"03/13/2023, 14:49:20"
10,1.3868,0.7221,0.447,0.5983,0.6754,0.0021,"03/13/2023, 14:49:43"
11,1.3867,0.7229,0.4608,0.6361,0.6563,0.0021,"03/13/2023, 14:50:06"
12,1.3866,0.7237,0.4307,0.6372,0.6083,0.002,"03/13/2023, 14:50:29"
13,1.3866,0.7243,0.43,0.6033,0.6401,0.0019,"03/13/2023, 14:50:51"
14,1.3865,0.7256,0.4395,0.6122,0.647,0.0019,"03/13/2023, 14:51:14"
15,1.3864,0.726,0.4441,0.6394,0.6204,0.0019,"03/13/2023, 14:51:37"
16,1.3864,0.7269,0.4284,0.5822,0.6589,0.0019,"03/13/2023, 14:52:00"
17,1.3864,0.7269,0.4344,0.5702,0.6656,0.0019,"03/13/2023, 14:52:22"
18,1.3864,0.7273,0.441,0.6154,0.6391,0.0019,"03/13/2023, 14:52:45"
19,1.3863,0.7273,0.4434,0.6212,0.6376,0.0019,"03/13/2023, 14:53:09"
20,1.3863,0.7274,0.4376,0.5559,0.6857,0.0019,"03/13/2023, 14:53:31"
21,1.3863,0.7275,0.4556,0.6652,0.6067,0.002,"03/13/2023, 14:53:54"
22,1.3863,0.7276,0.4276,0.6204,0.6023,0.002,"03/13/2023, 14:54:17"
23,1.3863,0.7278,0.4464,0.5983,0.6544,0.0021,"03/13/2023, 14:54:40"
24,1.3863,0.7277,0.4031,0.5177,0.654,0.0021,"03/13/2023, 14:55:03"
25,1.3863,0.7278,0.4082,0.5027,0.6901,0.0021,"03/13/2023, 14:55:26"
26,1.3863,0.7278,0.4434,0.5434,0.7115,0.0021,"03/13/2023, 14:55:49"
27,1.3863,0.7278,0.465,0.6785,0.6043,0.0022,"03/13/2023, 14:56:11"
28,1.3863,0.7278,0.4473,0.7195,0.5474,0.0022,"03/13/2023, 14:56:34"
29,1.3863,0.7278,0.4392,0.681,0.5636,0.0022,"03/13/2023, 14:56:57"
30,1.3863,0.7278,0.4155,0.7279,0.4952,0.0022,"03/13/2023, 14:57:19"
31,1.3863,0.7278,0.3883,0.7233,0.4567,0.0022,"03/13/2023, 14:57:42"
32,1.3863,0.7278,0.3779,0.7108,0.4473,0.0022,"03/13/2023, 14:58:05"
33,1.3863,0.7278,0.3745,0.7221,0.4382,0.0022,"03/13/2023, 14:58:27"
34,1.3863,0.7278,0.3933,0.7055,0.4756,0.0022,"03/13/2023, 14:58:48"
35,1.3863,0.7278,0.4027,0.7148,0.5003,0.0022,"03/13/2023, 14:59:08"
36,1.3863,0.7278,0.3986,0.4837,0.7159,0.0022,"03/13/2023, 14:59:28"
37,1.3863,0.7278,0.3911,0.5287,0.6407,0.0022,"03/13/2023, 14:59:48"
38,1.3863,0.7278,0.3845,0.6025,0.584,0.0022,"03/13/2023, 15:00:09"
39,1.3863,0.7278,0.3472,0.546,0.6488,0.0022,"03/13/2023, 15:00:30"
40,1.3863,0.7278,0.371,0.4695,0.6992,0.0022,"03/13/2023, 15:00:50"
