epoch,dis_loss,gen_loss,dis_accuracy,dis_recall,dis_precision,gen_mse,time
1,1.3902,0.7763,0.0007,0.0007,0.0214,0.1077,"02/16/2023, 12:36:25"
2,1.3876,0.779,0.0,0.0,0.0,0.1041,"02/16/2023, 12:36:31"
3,1.3871,0.7783,0.0,0.0,0.0,0.1041,"02/16/2023, 12:36:36"
4,1.3865,0.7781,0.0,0.0,0.0,0.1041,"02/16/2023, 12:36:41"
5,1.3863,0.7777,0.0,0.0,0.0,0.1042,"02/16/2023, 12:36:46"
6,1.3864,0.778,0.0,0.0,0.0,0.1041,"02/16/2023, 12:36:51"
7,1.3864,0.7776,0.0,0.0,0.0,0.1041,"02/16/2023, 12:36:56"
8,1.3864,0.7775,0.0,0.0,0.0,0.1041,"02/16/2023, 12:37:02"
9,1.3863,0.7777,0.0,0.0,0.0,0.1041,"02/16/2023, 12:37:07"
10,1.3863,0.7777,0.0,0.0,0.0,0.1041,"02/16/2023, 12:37:12"
11,1.3863,0.7778,0.0,0.0,0.0,0.1041,"02/16/2023, 12:37:17"
12,1.3863,0.7778,0.0,0.0,0.0,0.1041,"02/16/2023, 12:37:22"
13,1.3863,0.7779,0.0,0.0,0.0,0.1042,"02/16/2023, 12:37:28"
14,1.3863,0.7776,0.0,0.0,0.0,0.1042,"02/16/2023, 12:37:33"
15,1.3863,0.7776,0.0,0.0,0.0,0.1041,"02/16/2023, 12:37:38"
16,1.3863,0.7776,0.0,0.0,0.0,0.1041,"02/16/2023, 12:37:43"
17,1.3863,0.7777,0.0,0.0,0.0,0.1041,"02/16/2023, 12:37:48"
18,1.3863,0.7774,0.0,0.0,0.0,0.1041,"02/16/2023, 12:37:53"
19,1.3863,0.7775,0.0,0.0,0.0,0.1041,"02/16/2023, 12:37:58"
20,1.3863,0.7776,0.0,0.0,0.0,0.1041,"02/16/2023, 12:38:04"
21,1.3863,0.7778,0.0,0.0,0.0,0.1041,"02/16/2023, 12:38:09"
22,1.3863,0.7773,0.0,0.0,0.0,0.1041,"02/16/2023, 12:38:14"
23,1.3863,0.7776,0.0,0.0,0.0,0.1041,"02/16/2023, 12:38:19"
24,1.3863,0.7776,0.0,0.0,0.0,0.1041,"02/16/2023, 12:38:25"
25,1.3863,0.7776,0.0,0.0,0.0,0.1041,"02/16/2023, 12:38:30"
26,1.3863,0.7777,0.0,0.0,0.0,0.1041,"02/16/2023, 12:38:35"
27,1.3863,0.7777,0.0,0.0,0.0,0.1041,"02/16/2023, 12:38:40"
28,1.3863,0.7779,0.0,0.0,0.0,0.1042,"02/16/2023, 12:38:46"
29,1.3863,0.7778,0.0,0.0,0.0,0.1041,"02/16/2023, 12:38:51"
30,1.3863,0.7778,0.0,0.0,0.0,0.1042,"02/16/2023, 12:38:56"
31,1.3863,0.7776,0.0,0.0,0.0,0.1041,"02/16/2023, 12:39:01"
32,1.3863,0.7777,0.0,0.0,0.0,0.1042,"02/16/2023, 12:39:07"
33,1.3863,0.7779,0.0,0.0,0.0,0.1042,"02/16/2023, 12:39:12"
34,1.3863,0.7777,0.0,0.0,0.0,0.1041,"02/16/2023, 12:39:17"
35,1.3863,0.7776,0.0,0.0,0.0,0.1041,"02/16/2023, 12:39:22"
36,1.3863,0.7778,0.0,0.0,0.0,0.1041,"02/16/2023, 12:39:27"
37,1.3863,0.7777,0.0,0.0,0.0,0.1041,"02/16/2023, 12:39:33"
38,1.3863,0.7779,0.0,0.0,0.0,0.1041,"02/16/2023, 12:39:38"
39,1.3863,0.7776,0.0,0.0,0.0,0.1041,"02/16/2023, 12:39:43"
40,1.3863,0.7778,0.0,0.0,0.0,0.1041,"02/16/2023, 12:39:49"
