epoch,total_loss,mse,time
1,0.055,0.051,"04/04/2023, 15:16:59"
2,0.038,0.0375,"04/04/2023, 15:17:06"
3,0.0309,0.0306,"04/04/2023, 15:17:12"
4,0.0307,0.0306,"04/04/2023, 15:17:18"
5,0.0307,0.0305,"04/04/2023, 15:17:24"
6,0.0307,0.0305,"04/04/2023, 15:17:31"
7,0.0223,0.0215,"04/04/2023, 15:17:37"
8,0.0158,0.015,"04/04/2023, 15:17:43"
9,0.0156,0.015,"04/04/2023, 15:17:49"
10,0.0156,0.015,"04/04/2023, 15:17:55"
11,0.0155,0.015,"04/04/2023, 15:18:02"
12,0.0154,0.015,"04/04/2023, 15:18:08"
13,0.0153,0.015,"04/04/2023, 15:18:14"
14,0.0153,0.015,"04/04/2023, 15:18:20"
15,0.0153,0.015,"04/04/2023, 15:18:27"
16,0.0153,0.015,"04/04/2023, 15:18:33"
17,0.0153,0.015,"04/04/2023, 15:18:39"
18,0.0152,0.015,"04/04/2023, 15:18:45"
19,0.0152,0.015,"04/04/2023, 15:18:51"
20,0.0152,0.015,"04/04/2023, 15:18:58"
21,0.0152,0.015,"04/04/2023, 15:19:04"
22,0.0152,0.015,"04/04/2023, 15:19:10"
23,0.0152,0.015,"04/04/2023, 15:19:16"
24,0.0152,0.015,"04/04/2023, 15:19:23"
25,0.0152,0.015,"04/04/2023, 15:19:29"
26,0.0152,0.015,"04/04/2023, 15:19:35"
27,0.0152,0.015,"04/04/2023, 15:19:41"
28,0.0152,0.015,"04/04/2023, 15:19:47"
29,0.0152,0.015,"04/04/2023, 15:19:54"
30,0.0152,0.015,"04/04/2023, 15:20:00"
31,0.0152,0.015,"04/04/2023, 15:20:06"
32,0.0152,0.015,"04/04/2023, 15:20:12"
33,0.0152,0.015,"04/04/2023, 15:20:19"
34,0.0152,0.015,"04/04/2023, 15:20:25"
35,0.0152,0.015,"04/04/2023, 15:20:31"
36,0.0152,0.015,"04/04/2023, 15:20:37"
37,0.0152,0.015,"04/04/2023, 15:20:44"
38,0.0152,0.015,"04/04/2023, 15:20:50"
39,0.0152,0.015,"04/04/2023, 15:20:56"
40,0.0152,0.015,"04/04/2023, 15:21:02"
41,0.0152,0.015,"04/04/2023, 15:21:08"
42,0.0152,0.015,"04/04/2023, 15:21:15"
43,0.0152,0.015,"04/04/2023, 15:21:21"
44,0.0152,0.015,"04/04/2023, 15:21:27"
45,0.0152,0.015,"04/04/2023, 15:21:33"
46,0.0152,0.015,"04/04/2023, 15:21:40"
47,0.0152,0.015,"04/04/2023, 15:21:46"
48,0.0152,0.015,"04/04/2023, 15:21:52"
49,0.0152,0.015,"04/04/2023, 15:21:58"
50,0.0152,0.015,"04/04/2023, 15:22:05"
51,0.0152,0.015,"04/04/2023, 15:22:11"
52,0.0152,0.015,"04/04/2023, 15:22:17"
53,0.0152,0.015,"04/04/2023, 15:22:23"
54,0.0152,0.015,"04/04/2023, 15:22:30"
55,0.0152,0.015,"04/04/2023, 15:22:36"
56,0.0152,0.015,"04/04/2023, 15:22:42"
57,0.0152,0.015,"04/04/2023, 15:22:48"
58,0.0152,0.015,"04/04/2023, 15:22:54"
59,0.0152,0.015,"04/04/2023, 15:23:01"
60,0.0152,0.015,"04/04/2023, 15:23:07"
61,0.0152,0.015,"04/04/2023, 15:23:13"
62,0.0152,0.015,"04/04/2023, 15:23:19"
63,0.0152,0.015,"04/04/2023, 15:23:25"
64,0.0152,0.015,"04/04/2023, 15:23:32"
65,0.0152,0.015,"04/04/2023, 15:23:38"
66,0.0152,0.015,"04/04/2023, 15:23:44"
67,0.0152,0.015,"04/04/2023, 15:23:50"
68,0.0152,0.015,"04/04/2023, 15:23:56"
69,0.0152,0.015,"04/04/2023, 15:24:03"
70,0.0152,0.015,"04/04/2023, 15:24:09"
71,0.0152,0.015,"04/04/2023, 15:24:15"
72,0.0152,0.015,"04/04/2023, 15:24:21"
73,0.0152,0.015,"04/04/2023, 15:24:28"
74,0.0152,0.015,"04/04/2023, 15:24:34"
75,0.0152,0.015,"04/04/2023, 15:24:40"
76,0.0152,0.015,"04/04/2023, 15:24:46"
77,0.0152,0.015,"04/04/2023, 15:24:52"
78,0.0152,0.015,"04/04/2023, 15:24:59"
79,0.0152,0.015,"04/04/2023, 15:25:05"
80,0.0152,0.015,"04/04/2023, 15:25:11"
81,0.0152,0.015,"04/04/2023, 15:25:17"
82,0.0152,0.015,"04/04/2023, 15:25:23"
83,0.0152,0.015,"04/04/2023, 15:25:30"
84,0.0152,0.015,"04/04/2023, 15:25:36"
85,0.0152,0.015,"04/04/2023, 15:25:42"
86,0.0152,0.015,"04/04/2023, 15:25:48"
87,0.0152,0.015,"04/04/2023, 15:25:54"
88,0.0152,0.015,"04/04/2023, 15:26:01"
89,0.0152,0.015,"04/04/2023, 15:26:07"
90,0.0152,0.015,"04/04/2023, 15:26:13"
91,0.0152,0.015,"04/04/2023, 15:26:19"
92,0.0152,0.015,"04/04/2023, 15:26:26"
93,0.0152,0.015,"04/04/2023, 15:26:32"
94,0.0152,0.015,"04/04/2023, 15:26:38"
95,0.0152,0.015,"04/04/2023, 15:26:44"
96,0.0152,0.015,"04/04/2023, 15:26:51"
97,0.0152,0.015,"04/04/2023, 15:26:57"
98,0.0152,0.015,"04/04/2023, 15:27:03"
99,0.0152,0.015,"04/04/2023, 15:27:09"
100,0.0152,0.015,"04/04/2023, 15:27:15"
