epoch,total_loss,mse,time
1,4124.6085,3607.5559,"03/22/2023, 12:38:18"
2,563.5352,235.1663,"03/22/2023, 12:38:24"
3,140.3615,77.928,"03/22/2023, 12:38:30"
4,84.0459,81.1087,"03/22/2023, 12:38:36"
5,197.1758,105.2716,"03/22/2023, 12:38:42"
6,145.7205,83.5506,"03/22/2023, 12:38:48"
7,95.9771,80.7252,"03/22/2023, 12:38:55"
8,135.4654,91.5879,"03/22/2023, 12:39:01"
9,195.8188,88.0925,"03/22/2023, 12:39:07"
10,114.776,80.8487,"03/22/2023, 12:39:13"
11,96.4703,80.024,"03/22/2023, 12:39:20"
12,88.7366,79.4451,"03/22/2023, 12:39:26"
13,84.2133,78.6683,"03/22/2023, 12:39:32"
14,80.7245,77.3767,"03/22/2023, 12:39:38"
15,77.1025,75.0999,"03/22/2023, 12:39:44"
16,71.9277,70.7547,"03/22/2023, 12:39:50"
17,61.9728,61.2892,"03/22/2023, 12:39:56"
18,34.3704,33.917,"03/22/2023, 12:40:03"
19,0.6372,0.3392,"03/22/2023, 12:40:09"
20,0.5323,0.3372,"03/22/2023, 12:40:15"
21,0.471,0.3149,"03/22/2023, 12:40:21"
22,0.8903,0.3419,"03/22/2023, 12:40:28"
23,0.6615,0.3296,"03/22/2023, 12:40:34"
24,0.4289,0.3049,"03/22/2023, 12:40:40"
25,0.4221,0.3102,"03/22/2023, 12:40:46"
26,0.4061,0.3034,"03/22/2023, 12:40:53"
27,2.7315,0.5034,"03/22/2023, 12:40:59"
28,1.7204,0.4078,"03/22/2023, 12:41:05"
29,0.732,0.3625,"03/22/2023, 12:41:11"
30,1.2521,0.3881,"03/22/2023, 12:41:18"
31,1.3086,0.3535,"03/22/2023, 12:41:24"
32,0.6779,0.3539,"03/22/2023, 12:41:30"
33,0.5505,0.354,"03/22/2023, 12:41:36"
34,0.4701,0.3355,"03/22/2023, 12:41:42"
35,0.423,0.3285,"03/22/2023, 12:41:48"
36,0.3931,0.3236,"03/22/2023, 12:41:55"
37,0.3603,0.3071,"03/22/2023, 12:42:01"
38,0.3563,0.3145,"03/22/2023, 12:42:07"
39,0.3463,0.3125,"03/22/2023, 12:42:13"
40,0.7482,0.2989,"03/22/2023, 12:42:19"
41,0.4749,0.297,"03/22/2023, 12:42:26"
42,0.3625,0.2857,"03/22/2023, 12:42:32"
43,0.4016,0.2855,"03/22/2023, 12:42:38"
44,0.4196,0.2869,"03/22/2023, 12:42:44"
45,2.262,0.5037,"03/22/2023, 12:42:51"
46,0.8853,0.2795,"03/22/2023, 12:42:57"
47,0.4335,0.2978,"03/22/2023, 12:43:03"
48,0.5399,0.3038,"03/22/2023, 12:43:09"
49,0.4758,0.3047,"03/22/2023, 12:43:16"
50,0.3838,0.2904,"03/22/2023, 12:43:22"
51,0.4564,0.2857,"03/22/2023, 12:43:28"
52,0.4796,0.3049,"03/22/2023, 12:43:34"
53,2.381,0.6137,"03/22/2023, 12:43:41"
54,0.5285,0.328,"03/22/2023, 12:43:47"
55,0.4135,0.3231,"03/22/2023, 12:43:53"
56,0.4878,0.3101,"03/22/2023, 12:43:59"
57,0.3472,0.301,"03/22/2023, 12:44:05"
58,0.5506,0.2983,"03/22/2023, 12:44:12"
59,0.3985,0.2932,"03/22/2023, 12:44:18"
60,1.1958,0.4119,"03/22/2023, 12:44:24"
61,0.4434,0.295,"03/22/2023, 12:44:30"
62,0.6253,0.2659,"03/22/2023, 12:44:37"
63,0.3591,0.2686,"03/22/2023, 12:44:43"
64,0.3052,0.2631,"03/22/2023, 12:44:49"
65,0.3026,0.2747,"03/22/2023, 12:44:55"
66,0.4099,0.282,"03/22/2023, 12:45:01"
67,0.407,0.2911,"03/22/2023, 12:45:08"
68,0.8281,0.2852,"03/22/2023, 12:45:14"
69,0.5209,0.2603,"03/22/2023, 12:45:20"
70,0.4166,0.2501,"03/22/2023, 12:45:26"
71,1.17,0.4553,"03/22/2023, 12:45:33"
72,0.8377,0.3179,"03/22/2023, 12:45:39"
73,0.5534,0.3049,"03/22/2023, 12:45:45"
74,0.4464,0.3069,"03/22/2023, 12:45:51"
75,0.8015,0.3007,"03/22/2023, 12:45:57"
76,0.5632,0.288,"03/22/2023, 12:46:04"
77,0.4125,0.2633,"03/22/2023, 12:46:10"
78,0.4722,0.2745,"03/22/2023, 12:46:16"
79,0.5055,0.2734,"03/22/2023, 12:46:22"
80,0.4432,0.2618,"03/22/2023, 12:46:28"
81,0.3566,0.2447,"03/22/2023, 12:46:35"
82,0.4056,0.2477,"03/22/2023, 12:46:41"
83,0.2773,0.2417,"03/22/2023, 12:46:47"
84,0.4039,0.2651,"03/22/2023, 12:46:53"
85,0.73,0.2927,"03/22/2023, 12:46:59"
86,0.5432,0.2515,"03/22/2023, 12:47:05"
87,0.3886,0.2501,"03/22/2023, 12:47:12"
88,0.2937,0.2318,"03/22/2023, 12:47:18"
89,0.4021,0.2401,"03/22/2023, 12:47:24"
90,0.2836,0.2234,"03/22/2023, 12:47:30"
91,0.2847,0.2243,"03/22/2023, 12:47:36"
92,0.2541,0.2196,"03/22/2023, 12:47:43"
93,0.3131,0.2234,"03/22/2023, 12:47:49"
94,0.2926,0.2101,"03/22/2023, 12:47:55"
95,0.3464,0.2083,"03/22/2023, 12:48:01"
96,0.2465,0.2045,"03/22/2023, 12:48:07"
97,0.3073,0.212,"03/22/2023, 12:48:14"
98,0.2326,0.205,"03/22/2023, 12:48:20"
99,0.2116,0.1975,"03/22/2023, 12:48:26"
100,0.4364,0.2214,"03/22/2023, 12:48:32"
