epoch,total_loss,mse,time
1,5361.3355,4529.6459,"03/23/2023, 14:38:51"
2,139.9515,112.2399,"03/23/2023, 14:38:58"
3,119.3496,111.4652,"03/23/2023, 14:39:04"
4,119.6018,111.4941,"03/23/2023, 14:39:10"
5,209.4829,125.9948,"03/23/2023, 14:39:16"
6,183.214,114.4811,"03/23/2023, 14:39:23"
7,131.4265,111.8429,"03/23/2023, 14:39:29"
8,145.4465,113.1102,"03/23/2023, 14:39:35"
9,144.6854,112.0726,"03/23/2023, 14:39:41"
10,119.9127,111.3434,"03/23/2023, 14:39:47"
11,114.6468,111.1462,"03/23/2023, 14:39:54"
12,112.5463,110.8982,"03/23/2023, 14:40:00"
13,111.5672,110.6425,"03/23/2023, 14:40:06"
14,115.2013,110.2089,"03/23/2023, 14:40:12"
15,110.2467,109.344,"03/23/2023, 14:40:18"
16,113.0526,108.2824,"03/23/2023, 14:40:25"
17,107.2991,106.1117,"03/23/2023, 14:40:31"
18,103.9343,102.6399,"03/23/2023, 14:40:37"
19,98.1433,96.5796,"03/23/2023, 14:40:43"
20,87.3302,86.2615,"03/23/2023, 14:40:49"
21,73.8949,69.8953,"03/23/2023, 14:40:56"
22,61.7803,49.3633,"03/23/2023, 14:41:02"
23,31.6172,29.0299,"03/23/2023, 14:41:08"
24,17.9485,14.4312,"03/23/2023, 14:41:14"
25,13.2055,6.6265,"03/23/2023, 14:41:21"
26,4.3994,2.8664,"03/23/2023, 14:41:27"
27,2.5482,1.7275,"03/23/2023, 14:41:33"
28,2.0039,1.5032,"03/23/2023, 14:41:39"
29,1.7396,1.4066,"03/23/2023, 14:41:45"
30,1.5804,1.3413,"03/23/2023, 14:41:52"
31,1.5253,1.3463,"03/23/2023, 14:41:58"
32,4.4839,1.5431,"03/23/2023, 14:42:04"
33,3.4779,1.5004,"03/23/2023, 14:42:10"
34,2.0513,1.3344,"03/23/2023, 14:42:16"
35,5.4366,1.6248,"03/23/2023, 14:42:23"
36,2.6699,1.4174,"03/23/2023, 14:42:29"
37,1.9772,1.4184,"03/23/2023, 14:42:35"
38,1.9657,1.3322,"03/23/2023, 14:42:41"
39,2.3688,1.3841,"03/23/2023, 14:42:47"
40,2.5304,1.3792,"03/23/2023, 14:42:54"
41,1.6863,1.2978,"03/23/2023, 14:43:00"
42,1.4672,1.2592,"03/23/2023, 14:43:06"
43,1.3585,1.2257,"03/23/2023, 14:43:12"
44,1.5113,1.2722,"03/23/2023, 14:43:18"
45,1.3248,1.1518,"03/23/2023, 14:43:25"
46,1.2884,1.2115,"03/23/2023, 14:43:31"
47,1.1494,1.0843,"03/23/2023, 14:43:37"
48,2.2111,1.2048,"03/23/2023, 14:43:43"
49,1.5392,1.1777,"03/23/2023, 14:43:50"
50,1.238,1.0393,"03/23/2023, 14:43:56"
51,1.3143,1.1538,"03/23/2023, 14:44:02"
52,1.2365,1.0203,"03/23/2023, 14:44:08"
53,1.4277,1.0707,"03/23/2023, 14:44:14"
54,1.47,1.0384,"03/23/2023, 14:44:21"
55,1.3839,1.0406,"03/23/2023, 14:44:27"
56,1.1477,0.9826,"03/23/2023, 14:44:33"
57,1.2878,1.0087,"03/23/2023, 14:44:40"
58,1.2941,0.9715,"03/23/2023, 14:44:46"
59,1.179,0.9566,"03/23/2023, 14:44:52"
60,1.0978,0.9444,"03/23/2023, 14:44:58"
61,1.0842,0.9334,"03/23/2023, 14:45:05"
62,1.0137,0.8906,"03/23/2023, 14:45:11"
63,0.9792,0.8734,"03/23/2023, 14:45:18"
64,0.9798,0.8858,"03/23/2023, 14:45:24"
65,0.9746,0.814,"03/23/2023, 14:45:30"
66,1.0154,0.8509,"03/23/2023, 14:45:36"
67,0.9347,0.7813,"03/23/2023, 14:45:42"
68,0.9311,0.8048,"03/23/2023, 14:45:49"
69,0.8979,0.7888,"03/23/2023, 14:45:55"
70,0.8852,0.7765,"03/23/2023, 14:46:01"
71,0.8585,0.7707,"03/23/2023, 14:46:07"
72,2.9786,0.9305,"03/23/2023, 14:46:14"
73,2.3888,0.893,"03/23/2023, 14:46:20"
74,1.5999,1.0479,"03/23/2023, 14:46:26"
75,0.9993,0.6934,"03/23/2023, 14:46:32"
76,1.1059,0.7756,"03/23/2023, 14:46:38"
77,0.9852,0.7817,"03/23/2023, 14:46:45"
78,0.9703,0.7571,"03/23/2023, 14:46:51"
79,0.8817,0.753,"03/23/2023, 14:46:57"
80,0.8324,0.7326,"03/23/2023, 14:47:03"
81,0.8281,0.7452,"03/23/2023, 14:47:09"
82,0.8451,0.7495,"03/23/2023, 14:47:16"
83,0.8073,0.6888,"03/23/2023, 14:47:22"
84,0.7828,0.685,"03/23/2023, 14:47:28"
85,0.7857,0.6864,"03/23/2023, 14:47:34"
86,0.7952,0.6858,"03/23/2023, 14:47:40"
87,0.8142,0.6902,"03/23/2023, 14:47:47"
88,0.7762,0.6846,"03/23/2023, 14:47:53"
89,0.7369,0.6542,"03/23/2023, 14:47:59"
90,0.7766,0.6673,"03/23/2023, 14:48:05"
91,0.771,0.6284,"03/23/2023, 14:48:12"
92,0.7388,0.6449,"03/23/2023, 14:48:18"
93,0.7533,0.6483,"03/23/2023, 14:48:24"
94,0.7725,0.6217,"03/23/2023, 14:48:30"
95,0.7253,0.6224,"03/23/2023, 14:48:36"
96,0.7042,0.6136,"03/23/2023, 14:48:43"
97,0.736,0.613,"03/23/2023, 14:48:49"
98,0.7123,0.6042,"03/23/2023, 14:48:55"
99,0.7036,0.5978,"03/23/2023, 14:49:01"
100,0.7118,0.5895,"03/23/2023, 14:49:07"
