epoch,dis_loss,gen_loss,dis_accuracy,dis_recall,dis_precision,gen_mse,time
1,2.7183,3.4495,0.4854,0.6498,0.6718,0.487,"03/16/2023, 19:27:54"
2,1.449,1.5053,0.4885,0.6516,0.6732,0.0664,"03/16/2023, 19:28:18"
3,1.4083,1.0099,0.4847,0.6469,0.6738,0.0214,"03/16/2023, 19:28:42"
4,1.3988,0.8414,0.4812,0.6487,0.6665,0.0126,"03/16/2023, 19:29:05"
5,1.3941,0.7651,0.4832,0.6606,0.6612,0.0083,"03/16/2023, 19:29:28"
6,1.3928,0.7249,0.4755,0.6424,0.6706,0.0049,"03/16/2023, 19:29:52"
7,1.3907,0.7144,0.4749,0.6443,0.6669,0.0049,"03/16/2023, 19:30:15"
8,1.3896,0.7058,0.4728,0.6467,0.6627,0.0037,"03/16/2023, 19:30:38"
9,1.389,0.7027,0.4693,0.6478,0.6593,0.0023,"03/16/2023, 19:31:01"
10,1.3883,0.7026,0.4672,0.6506,0.6519,0.0023,"03/16/2023, 19:31:24"
11,1.3882,0.7051,0.4715,0.6455,0.6624,0.0031,"03/16/2023, 19:31:48"
12,1.3877,0.7059,0.4709,0.6557,0.6531,0.003,"03/16/2023, 19:32:10"
13,1.3873,0.7035,0.4613,0.6544,0.6385,0.0022,"03/16/2023, 19:32:33"
14,1.3871,0.7051,0.4643,0.6423,0.659,0.002,"03/16/2023, 19:32:57"
15,1.3869,0.7072,0.4622,0.6535,0.6457,0.0024,"03/16/2023, 19:33:22"
16,1.3869,0.7068,0.4534,0.6437,0.6508,0.0017,"03/16/2023, 19:33:47"
17,1.3868,0.7091,0.4588,0.6419,0.6495,0.0015,"03/16/2023, 19:34:11"
18,1.3867,0.7069,0.4563,0.6904,0.6074,0.0017,"03/16/2023, 19:34:36"
19,1.3865,0.7082,0.459,0.6324,0.6583,0.0015,"03/16/2023, 19:35:00"
20,1.3865,0.7106,0.4381,0.6722,0.5922,0.0013,"03/16/2023, 19:35:24"
21,1.3865,0.7087,0.4441,0.6453,0.6196,0.0018,"03/16/2023, 19:35:48"
22,1.3865,0.7088,0.4411,0.6784,0.5871,0.0015,"03/16/2023, 19:36:13"
23,1.3865,0.7087,0.4366,0.6649,0.5848,0.0015,"03/16/2023, 19:36:37"
24,1.3864,0.7076,0.435,0.6433,0.6165,0.0015,"03/16/2023, 19:36:59"
25,1.3864,0.7089,0.4432,0.6474,0.6234,0.0014,"03/16/2023, 19:37:22"
26,1.3864,0.7072,0.4406,0.6377,0.6239,0.0015,"03/16/2023, 19:37:46"
27,1.3863,0.7083,0.4479,0.6428,0.6315,0.0015,"03/16/2023, 19:38:09"
28,1.3863,0.7092,0.4431,0.6855,0.5772,0.0017,"03/16/2023, 19:38:31"
29,1.3863,0.7057,0.4361,0.7032,0.559,0.0018,"03/16/2023, 19:38:53"
30,1.3863,0.7075,0.4112,0.6703,0.5459,0.0016,"03/16/2023, 19:39:16"
31,1.3863,0.7079,0.4459,0.7188,0.5532,0.0017,"03/16/2023, 19:39:38"
32,1.3863,0.7072,0.4415,0.6536,0.6086,0.0015,"03/16/2023, 19:40:03"
33,1.3863,0.707,0.4503,0.7122,0.5699,0.0015,"03/16/2023, 19:40:26"
34,1.3863,0.7069,0.4635,0.6816,0.6156,0.0016,"03/16/2023, 19:40:49"
35,1.3863,0.7075,0.441,0.7581,0.5222,0.0017,"03/16/2023, 19:41:12"
36,1.3863,0.706,0.4593,0.7003,0.5867,0.0016,"03/16/2023, 19:41:36"
37,1.3863,0.71,0.4404,0.6127,0.6427,0.0018,"03/16/2023, 19:41:59"
38,1.3863,0.7094,0.4494,0.698,0.5663,0.0022,"03/16/2023, 19:42:23"
39,1.3863,0.7052,0.446,0.7297,0.5504,0.0018,"03/16/2023, 19:42:45"
40,1.3863,0.7084,0.4439,0.6882,0.5888,0.0019,"03/16/2023, 19:43:09"
