epoch,dis_loss,gen_loss,dis_accuracy,dis_recall,dis_precision,gen_mse,time
1,14.4985,15.6982,0.446,0.4883,0.8793,158.0287,"03/22/2023, 15:08:15"
2,12.5511,13.248,0.4615,0.5384,0.7857,64.2943,"03/22/2023, 15:09:53"
3,11.23,10.2221,0.4905,0.6339,0.6933,5.0622,"03/22/2023, 15:11:36"
4,11.0949,9.9374,0.4862,0.6145,0.7109,4.5152,"03/22/2023, 15:13:19"
5,10.8199,9.2815,0.4934,0.6339,0.6985,4.6196,"03/22/2023, 15:15:01"
6,10.5858,8.2858,0.4965,0.6576,0.6754,1.9029,"03/22/2023, 15:16:43"
7,10.5259,7.6381,0.4953,0.6622,0.6682,1.296,"03/22/2023, 15:18:25"
8,10.492,7.4741,0.495,0.6429,0.6886,1.1088,"03/22/2023, 15:20:07"
9,10.3169,7.0046,0.4957,0.6452,0.6865,1.4645,"03/22/2023, 15:21:48"
10,10.3484,6.5803,0.4943,0.6598,0.6693,1.5248,"03/22/2023, 15:23:30"
11,10.2933,6.3037,0.4934,0.6382,0.6914,1.4093,"03/22/2023, 15:25:11"
12,10.1491,6.0904,0.4982,0.6541,0.6797,2.1728,"03/22/2023, 15:26:53"
13,10.1789,5.4798,0.4932,0.6511,0.6767,1.5149,"03/22/2023, 15:28:35"
14,10.1063,5.3307,0.495,0.648,0.6823,1.7567,"03/22/2023, 15:30:17"
15,10.1113,5.2732,0.4929,0.6548,0.6733,1.4322,"03/22/2023, 15:31:59"
16,10.0936,4.9762,0.4913,0.6388,0.6897,1.1385,"03/22/2023, 15:33:41"
17,9.976,5.0362,0.4975,0.6562,0.6764,1.8781,"03/22/2023, 15:35:21"
18,9.9535,4.9275,0.5018,0.6539,0.6872,1.995,"03/22/2023, 15:37:01"
19,9.9499,5.1031,0.4979,0.6556,0.6795,2.3051,"03/22/2023, 15:38:40"
20,9.9373,4.9337,0.5006,0.6607,0.6789,1.9339,"03/22/2023, 15:40:21"
21,9.9194,4.03,0.5037,0.6802,0.6654,0.8662,"03/22/2023, 15:42:02"
22,9.9273,4.1459,0.5016,0.6751,0.6668,1.1711,"03/22/2023, 15:43:42"
23,9.9397,4.4239,0.4974,0.6477,0.6909,1.2801,"03/22/2023, 15:45:22"
24,9.9856,5.0033,0.4885,0.654,0.676,1.8743,"03/22/2023, 15:47:01"
25,9.9793,4.4167,0.4866,0.6434,0.6838,0.908,"03/22/2023, 15:48:41"
26,9.9592,4.2091,0.4909,0.6411,0.6937,0.6539,"03/22/2023, 15:50:25"
27,9.9354,3.9288,0.494,0.6379,0.7022,0.6243,"03/22/2023, 15:52:06"
28,9.923,3.7985,0.5049,0.6406,0.7191,0.7403,"03/22/2023, 15:53:46"
29,9.8958,3.604,0.5051,0.6192,0.7476,0.7082,"03/22/2023, 15:55:28"
30,9.8563,3.4224,0.5029,0.6297,0.7283,0.5614,"03/22/2023, 15:57:11"
31,9.8158,3.7606,0.5167,0.6441,0.735,0.909,"03/22/2023, 15:58:52"
32,9.7277,3.4242,0.5398,0.6713,0.7445,0.7154,"03/22/2023, 16:00:34"
33,9.6926,3.3847,0.5329,0.6591,0.7513,0.8985,"03/22/2023, 16:02:16"
34,9.6537,2.9421,0.524,0.6471,0.7507,0.535,"03/22/2023, 16:03:58"
35,9.5616,2.6898,0.5105,0.6231,0.7594,0.3437,"03/22/2023, 16:05:40"
36,9.3889,2.5425,0.5178,0.6187,0.7816,0.1945,"03/22/2023, 16:07:22"
37,9.1597,2.4881,0.516,0.6247,0.773,0.16,"03/22/2023, 16:09:04"
38,8.6016,2.3035,0.5298,0.6372,0.7787,0.1129,"03/22/2023, 16:10:48"
39,7.7908,2.2333,0.5409,0.655,0.7831,0.1291,"03/22/2023, 16:12:30"
40,6.7283,1.7829,0.5369,0.6688,0.7581,0.0555,"03/22/2023, 16:14:14"
41,5.427,1.1094,0.5343,0.6694,0.7622,0.0134,"03/22/2023, 16:15:57"
42,4.3673,0.9476,0.5469,0.6813,0.7762,0.0081,"03/22/2023, 16:17:40"
43,4.819,0.8307,0.5826,0.7252,0.8035,0.0063,"03/22/2023, 16:19:23"
44,4.0115,0.7172,0.5968,0.75,0.7867,0.0047,"03/22/2023, 16:21:04"
45,3.7332,0.63,0.6104,0.7651,0.7877,0.0039,"03/22/2023, 16:22:46"
46,3.2685,0.7043,0.5994,0.771,0.7601,0.006,"03/22/2023, 16:24:28"
47,2.704,0.5937,0.571,0.7799,0.7036,0.0041,"03/22/2023, 16:26:10"
48,2.6048,0.6446,0.569,0.7835,0.6998,0.0046,"03/22/2023, 16:27:54"
49,2.5797,0.9173,0.5725,0.7924,0.6973,0.0111,"03/22/2023, 16:29:36"
50,2.604,0.7699,0.5572,0.7721,0.7037,0.0066,"03/22/2023, 16:31:19"
