x,y,z,time,vx,vy,vz,px,py,pz,distance
-117.0,87.0,-33.0,303.0,1.3870013,-0.9304522,0.72985107,-0.14724442,1.9663473,-1.0099683,-2.1114125
-121.0,83.0,-33.0,303.0,1.2675234,-0.93931437,2.09276,1.3870615,1.1161659,-0.43333548,-1.4793577
121.0,83.0,-33.0,303.0,1.0262796,-0.79065907,0.058669746,0.64493394,1.8407556,-0.4370103,-2.1368384
-125.0,75.0,-33.0,303.0,1.1883416,-1.0735742,1.3512435,1.9633578,1.7933476,-0.52301407,-1.7188573
-125.0,-76.0,-33.0,303.0,0.8037789,-1.241552,2.2965765,1.144302,1.6380781,-0.042536378,-1.1103356
121.0,-83.0,-33.0,303.0,0.39101022,-1.0881448,0.8093608,1.3143294,2.2922912,0.2238271,-1.514281
-121.0,83.0,-29.0,303.0,1.5343707,-0.9945729,1.5386941,0.69309163,1.281232,-0.7442315,-1.5762432
125.0,79.0,-29.0,303.0,0.846472,-0.8046396,-0.062291384,1.0422354,2.0870302,-0.25999045,-1.9979279
-121.0,-83.0,-29.0,303.0,1.3088884,-1.1326362,4.342118,1.2605618,0.3932731,-0.05078599,-0.79709196
121.0,-83.0,-29.0,303.0,0.69751716,-0.7679137,1.3005135,1.1289108,0.9582927,0.26259208,-1.3539972
-125.0,79.0,-25.0,303.0,1.4929631,-1.0659258,1.9010797,0.9443337,1.3453429,-0.70599055,-1.5116236
125.0,79.0,-25.0,303.0,1.1235073,-0.868731,0.10702288,-0.1364415,1.9521905,-0.63705045,-2.2931812
-125.0,-80.0,-25.0,303.0,0.97928876,-1.0120971,2.1710622,0.8760506,1.0266935,-0.1315547,-1.011235
125.0,-80.0,-25.0,303.0,0.6970756,-0.83277166,1.0233018,1.6218486,1.4163352,0.21819457,-1.6424096
121.0,87.0,-21.0,303.0,1.2108676,-0.7269154,-0.72957563,0.3196342,2.1408873,-0.8351902,-2.2712975
-125.0,-80.0,-21.0,303.0,0.89025676,-1.0613241,2.3877754,1.4425472,1.0286926,0.019408695,-0.92523456
-121.0,87.0,-17.0,303.0,1.2894293,-0.9481617,0.86653507,0.85451853,1.6178674,-0.5918313,-2.021668
121.0,87.0,-17.0,303.0,0.8501495,-0.6998997,0.09304136,0.12949683,1.4337918,-0.29198003,-1.707516
