mass_A
t	x	y
0.000000000E0	4.873292719E1	5.434264027E1
1.666666667E-2	4.872992332E1	5.437254646E1
3.333333333E-2	4.873886909E1	5.446009243E1
5.000000000E-2	4.873313128E1	5.449723323E1
6.666666667E-2	4.872787852E1	5.452727078E1
8.333333333E-2	4.873995193E1	5.460208383E1
1.000000000E-1	4.873219719E1	5.465102940E1
1.166666667E-1	4.872932936E1	5.467795504E1
1.333333333E-1	4.872347734E1	5.471272101E1
1.500000000E-1	4.873396245E1	5.479042509E1
1.666666667E-1	4.873035418E1	5.482422748E1
1.833333333E-1	4.872809249E1	5.484710464E1
2.000000000E-1	4.872013405E1	5.489842228E1
2.166666667E-1	4.873600009E1	5.496240074E1
2.333333333E-1	4.872990087E1	5.498612629E1
2.500000000E-1	4.872518163E1	5.500922498E1
2.666666667E-1	4.872267598E1	5.505102792E1
2.833333333E-1	4.873376665E1	5.511560799E1
3.000000000E-1	4.873138846E1	5.514122409E1
3.166666667E-1	4.872682675E1	5.515661320E1
3.333333333E-1	4.872475136E1	5.518199883E1
3.500000000E-1	4.872212879E1	5.521429438E1
3.666666667E-1	4.873688185E1	5.527464177E1
3.833333333E-1	4.873070938E1	5.529953667E1
4.000000000E-1	4.872900879E1	5.531192633E1
4.166666667E-1	4.872553023E1	5.532831342E1
4.333333333E-1	4.872297685E1	5.535255913E1
4.500000000E-1	4.873698284E1	5.539886867E1
4.666666667E-1	4.873342167E1	5.543957001E1
4.833333333E-1	4.873104000E1	5.545671975E1
5.000000000E-1	4.872951179E1	5.547149114E1
5.166666667E-1	4.872853484E1	5.547584668E1
5.333333333E-1	4.872793984E1	5.548676145E1
5.500000000E-1	4.872536522E1	5.549969057E1
5.666666667E-1	4.872182941E1	5.551677411E1
5.833333333E-1	4.872099893E1	5.554774704E1
6.000000000E-1	4.873598418E1	5.555442551E1
6.166666667E-1	4.873448289E1	5.559723937E1
6.333333333E-1	4.873238788E1	5.560695950E1
6.500000000E-1	4.873218202E1	5.561382197E1
6.666666667E-1	4.873154787E1	5.562341482E1
6.833333333E-1	4.873088022E1	5.562447003E1
7.000000000E-1	4.873149593E1	5.562587252E1
7.166666667E-1	4.873072168E1	5.562712361E1
7.333333333E-1	4.872952033E1	5.563062266E1
7.500000000E-1	4.872952577E1	5.563066386E1
7.666666667E-1	4.872900349E1	5.563106723E1
7.833333333E-1	4.872947775E1	5.563142532E1
8.000000000E-1	4.872926882E1	5.563139769E1
8.166666667E-1	4.872937278E1	5.563125004E1
8.333333333E-1	4.873138537E1	5.562756696E1
8.500000000E-1	4.873137189E1	5.562610134E1
8.666666667E-1	4.873129571E1	5.562394274E1
8.833333333E-1	4.873180174E1	5.562018026E1
9.000000000E-1	4.873273677E1	5.561404455E1
9.166666667E-1	4.873324828E1	5.560689201E1
9.333333333E-1	4.873536555E1	5.558993794E1
9.500000000E-1	4.873509418E1	5.558189415E1
