Reynolds_Number,Source,MSE,wx^2,wy^2,wz^2,wx,wy,wz,1
3.6,Raw,6.815356158910097e-38,0.49999999999999994,0.5000000000000003,0.499999999999999,5.078639813278697e-17,-1.9722912175413966e-18,-7.355492950635688e-17,2.235411718121163e-19
3.6,Encoded,1.7765268756263177e-37,0.4999999999999992,0.5000000000000004,0.4999999999999995,-1.1898757831235024e-17,-5.849875743741813e-17,2.481371466741001e-16,2.232922395495193e-19
3.6,Predicted,1.7171114141963013e-38,0.500000000000001,0.5000000000000009,0.49999999999999833,-3.1172402084002363e-17,-2.858978872671965e-17,-3.597703479911451e-17,1.0069310022049114e-19
4.6,Raw,1.1726500032465755e-34,0.49999999999999767,0.500000000000001,0.500000000000001,6.076624810610947e-16,-5.222640675484655e-15,-1.0987054188617827e-15,3.104185314584733e-19
4.6,Encoded,6.825645766195623e-35,0.4999999999999998,0.500000000000003,0.4999999999999991,4.356373616283672e-16,-3.871423986829648e-15,-1.2672396074203163e-15,2.668553855039963e-19
4.6,Predicted,1.390658527500546e-37,0.4999999999999991,0.5000000000000001,0.5,8.531841240557965e-17,-2.0603693080777567e-16,-2.898744989641566e-17,1.9914581007760918e-21
5.2,Raw,8.430290879982844e-35,0.5000000000000017,0.5000000000000006,0.5000000000000006,-2.360158412656448e-16,3.110113385935618e-16,-3.917988458137199e-15,1.1347732773148892e-18
5.2,Encoded,8.96049327305988e-35,0.5000000000000003,0.5000000000000003,0.5000000000000007,-2.893828796990564e-16,4.18634488824256e-16,-4.0229752081532125e-15,1.1794566184510527e-18
5.2,Predicted,3.1472389549972487e-35,0.5000000000000009,0.49999999999999983,0.49999999999999933,-3.2405160614835406e-17,-1.7260487884227875e-15,-2.116170744593173e-15,1.5150017501654119e-18
6.4,Raw,5.988095574377007e-37,0.4999999999999993,0.4999999999999992,0.49999999999999895,-9.99138189275041e-17,-1.6611879425636577e-16,-8.920958365552299e-17,3.584624581396965e-20
6.4,Encoded,3.4326120620634546e-37,0.4999999999999989,0.5000000000000006,0.49999999999999994,1.2387179369525476e-16,-4.1706293205808156e-17,1.6408586379882423e-17,2.6884684360477238e-20
6.4,Predicted,3.819103594425327e-37,0.500000000000001,0.5000000000000008,0.5000000000000002,1.4062965441166354e-16,-4.23512221070398e-17,3.57679591977548e-17,-3.2859058662805515e-20
6.6,Raw,1.0168208611611396e-37,0.49999999999999994,0.4999999999999982,0.4999999999999994,4.145427646593584e-17,-2.6683260962205294e-17,6.610026369767264e-17,5.3769368720954476e-20
6.6,Encoded,2.7347975085257666e-38,0.49999999999999883,0.4999999999999994,0.5000000000000002,-2.203931576949672e-17,6.8172949881789926e-18,2.9967043695180835e-17,2.0910310058148965e-20
6.6,Predicted,1.7838976806388033e-36,0.5000000000000006,0.5000000000000006,0.4999999999999996,2.6324476340858504e-16,-2.1602794540143414e-16,-4.108343966715352e-17,-1.4935935755820688e-20
7.2,Raw,3.789780589678152e-37,0.4999999999999987,0.4999999999999982,0.4999999999999982,6.956013762392738e-17,-5.2776818864583425e-17,-1.289183419660044e-16,7.965832403104367e-20
7.2,Encoded,1.7526792164276537e-36,0.49999999999999983,0.4999999999999987,0.4999999999999996,2.0747672538921773e-16,1.2544078236210182e-16,-1.7039855548766618e-16,2.887614246125333e-20
7.2,Predicted,5.16713905274998e-37,0.49999999999999994,0.4999999999999995,0.49999999999999956,1.1084625517255696e-16,4.535730345170477e-17,-1.450969339022958e-16,-2.4594507544584733e-19
7.8,Raw,2.5450350804444517e-36,0.49999999999999906,0.4999999999999989,0.5000000000000001,-2.80684380223312e-16,-7.098856521645427e-17,8.472144725404277e-17,2.2901768158925057e-20
7.8,Encoded,3.0528673740012975e-36,0.49999999999999944,0.4999999999999998,0.4999999999999999,3.212661286574229e-16,9.543068844221151e-17,2.899991851544035e-17,1.7923122906984826e-20
