corruption_percent,rmse
0.0,0.0027988488
1.0,0.13103282
2.0,0.22000128
3.0,0.2979515
4.0,0.34984654
5.0,0.43220755
6.0,0.47392938
7.000000000000001,0.55379343
8.0,0.595143
9.0,0.632642
10.0,0.6670291
11.0,0.7159278
12.0,0.75411546
13.0,0.7752499
14.000000000000002,0.82373804
15.0,0.84615517
16.0,0.8816294
17.0,0.8963092
18.0,0.918293
19.0,0.92361414
20.0,0.9444269
21.0,0.9617099
22.0,0.97160774
23.0,0.97711724
24.0,0.99974513
25.0,1.0013821
26.0,1.0245054
27.0,1.022057
28.000000000000004,1.0368681
28.999999999999996,1.0409331
30.0,1.0471929
31.0,1.0545157
32.0,1.066267
33.0,1.0646985
34.0,1.0821177
35.0,1.0833844
36.0,1.0853798
37.0,1.0940243
38.0,1.0974479
39.0,1.0967093
40.0,1.1083634
41.0,1.1122327
42.0,1.1226946
43.0,1.1236566
44.0,1.1263287
45.0,1.1296405
46.0,1.1292986
47.0,1.1309283
48.0,1.1420026
49.0,1.1392772
50.0,1.1481593
51.0,1.1523513
52.0,1.1472566
53.0,1.1529945
54.0,1.1642065
55.00000000000001,1.1663709
56.00000000000001,1.1691929
57.00000000000001,1.1691694
57.99999999999999,1.1776354
59.0,1.182366
60.0,1.1858975
61.0,1.191769
62.0,1.1883585
63.0,1.2007608
64.0,1.1942583
65.0,1.1958265
66.0,1.2069737
67.0,1.208254
68.0,1.2166432
69.0,1.2202973
70.0,1.223284
71.0,1.2247689
72.0,1.2239199
73.0,1.2376531
74.0,1.2381779
75.0,1.2288845
76.0,1.2415549
77.0,1.234968
78.0,1.2435926
79.0,1.2436932
80.0,1.2545943
81.0,1.2543446
82.0,1.2567083
83.0,1.262956
84.0,1.2705542
85.0,1.2655003
86.0,1.266116
87.0,1.2793921
88.0,1.2796221
89.0,1.2794867
90.0,1.2864219
91.0,1.2831652
92.0,1.2952979
93.0,1.2875123
94.0,1.300316
95.0,1.2988459
96.0,1.3052685
97.0,1.3083168
98.0,1.3140378
99.0,1.3167069
100.0,1.3257614
