step,cx,cy,cz,ex,ey,ez,peak_x,peak_y,peak_z,n_core_points,omega_x,omega_y,omega_z
101,-29.0,-46.4,-21.0,0.0,16.0,0.0,-29,-31,-21,2,-0.0032800034599424627,-0.028984273617733116,-0.0016792745726625202
102,-29.0,-46.7,-21.0,0.0,16.0,0.0,-29,-31,-21,2,-0.0017916641473322364,-0.03467126972033894,-0.0026562445067275365
103,-29.0,-46.5,-21.0,0.0,16.0,0.0,-29,-31,-21,2,-0.001761973547724766,-0.03384014851001575,-0.00229781240056441
104,-29.0,-31.0,-21.0,0.0,0.0,0.0,-29,-31,-21,1,0.009150102734565735,-0.04475535824894905,-0.005630386061966419
105,-29.0,-46.6,-21.0,0.0,16.0,0.0,-29,-31,-21,2,-0.0022664356345335397,-0.03629661686682579,-0.0012874857586617611
106,-29.0,-38.6,-21.0,0.0,8.0,0.0,-29,-31,-21,2,-0.002997453178097835,0.006120083914190945,-0.006318274895105348
107,-29.0,-47.2,-21.0,0.0,16.0,0.0,-29,-63,-21,2,0.00017335106451684006,-0.044584320385147896,-0.0014295460017531149
108,-28.0,-36.4,-21.0,1.5,8.0,0.0,-29,-31,-21,3,-0.003830772952257493,0.00089136451472459,-0.015266461621677057
109,-29.0,-60.3,-11.1,0.0,12.0,15.5,-29,-63,-21,3,0.004817334714754646,-0.005200404222309139,-0.002747753721977473
110,-28.3,-61.1,-13.4,1.5,12.0,15.5,-29,-63,-21,4,0.0034707559870523442,0.0008128119311377152,-0.008368533585672423
111,-28.0,-57.8,-21.0,1.5,8.0,0.0,-29,-63,-21,3,-0.0029580028041216078,0.006367730920847067,-0.000543382862383478
112,-28.0,-57.9,-21.0,1.5,8.0,0.0,-29,-63,-21,3,-0.002340072177799555,0.006557615301690674,-0.00247253683147075
113,-28.0,-57.9,-21.0,1.5,8.0,0.0,-29,-63,-21,3,-0.0006752995957697011,0.007617888847403201,-0.0011498834517863663
114,-28.0,-57.9,-21.0,1.5,8.0,0.0,-29,-63,-21,3,0.0004827372151758894,0.009185150941974444,-0.0015733714691755973
115,-25.6,-35.6,-15.3,7.5,43.0,17.5,-29,-47,-21,6,-0.0016017709451647659,-0.0002358934878883547,-0.0037099357378469334
116,-19.6,-10.7,-21.0,9.5,31.0,0.0,-29,-47,-21,5,0.0024398885118387965,-0.006580950553566044,-0.005906039690330591
117,-23.3,-27.5,-21.0,7.5,31.0,0.0,-29,-47,-21,3,-0.003952801161433676,-0.002235516490005042,0.0030398071678773026
118,-23.3,-27.4,-21.0,7.5,31.0,0.0,-29,-47,-21,3,-0.004789390343831923,-0.002672653841408493,0.002767553124170185
119,-27.5,-47.0,-21.0,1.5,0.0,0.0,-29,-47,-21,2,-0.0045206309383300555,-0.04635762278211279,-0.005270511959704213
120,-26.4,-56.5,-21.0,3.5,8.0,0.0,-26,-63,-21,5,-0.0016696836281970128,0.005227329982804104,-0.005422015366330315
121,-25.7,-55.1,-21.0,3.5,8.0,0.0,-26,-63,-21,6,-0.0018777138634205046,0.0020371287429039584,-0.009587408673465858
122,-24.6,-56.1,-21.0,5.5,8.0,0.0,-26,-63,-21,7,-0.0014602276751019135,0.005042925937411693,-0.006124426073333308
123,-25.6,-47.0,-21.0,3.5,0.0,0.0,-26,-47,-21,3,-0.0030435647811092215,-0.04901805895721207,-0.004194842585849431
124,-23.3,-62.9,-7.3,5.5,12.0,15.5,-22,-63,-21,9,0.004396541446692797,0.009162571029705519,0.015218741519907288
125,-22.0,-55.1,-21.0,4.0,8.0,0.0,-22,-63,-21,6,-0.004909558687563507,-0.0006023701789949417,-0.010859501943337084
126,-23.0,-53.9,-21.0,5.5,8.0,0.0,-22,-47,-21,7,-0.006211086960591741,0.0019730820595508783,-0.009063221106523434
127,-22.1,-47.0,-21.0,4.0,0.0,0.0,-22,-47,-21,3,-0.0025702665354084085,-0.049005769959572995,-0.0029882729422476273
128,-25.2,-60.5,-10.4,3.5,12.0,15.5,-29,-71,10,6,0.004687216670828555,-0.003667410187976121,0.002352091484523582
129,-26.1,-59.0,-13.2,3.5,12.0,15.5,-26,-47,-21,8,0.008067985282265643,-0.01753232760931479,-0.018737643555094788
130,-23.8,-47.0,-21.0,5.5,0.0,0.0,-26,-47,-21,4,-0.002174177406913029,-0.04832947577142678,-0.0036872837721028257
131,-23.9,-62.0,-9.2,5.5,12.0,15.5,-29,-71,10,8,0.0034175707941859245,0.009742615890192947,0.013133419934003812
132,-19.8,-49.4,-10.5,13.5,43.0,15.5,-22,-63,-21,12,-0.0001920371917892043,-0.01004447860280373,-0.0008153469992937018
133,-23.7,-37.5,-10.5,5.5,19.5,21.5,-22,-47,-21,4,-0.003937824157875387,0.0022697514720493,-0.008045810543995177
134,-21.8,-39.3,-12.5,7.5,19.5,21.5,-22,-47,-21,5,0.0003136348851866642,-0.0037738679311848725,-0.005757107443277755
135,-17.2,-61.4,-8.7,6.0,12.0,15.5,-18,-63,-21,10,0.0038457007573923126,0.005031469713460059,0.01141309069437296
136,-17.2,-56.7,-21.0,4.0,8.0,0.0,-18,-63,-21,5,-0.0029596833121414796,0.005966379792688211,-0.005808640819502707
137,-15.4,-62.2,-10.5,6.0,12.0,15.5,-18,-63,-21,9,0.003687815637218964,0.011548654908257601,0.008582957057929955
138,-14.3,-60.4,-9.5,8.0,20.0,15.5,-10,-71,10,11,0.006020750069121294,-0.0034668579412538997,0.005182638568059041
139,-16.1,-43.1,-16.3,9.5,27.5,21.5,-14,-63,-21,9,0.006645446195586325,0.00022534245862701585,0.0018488374339487757
140,-16.1,-41.8,-15.1,9.5,27.5,21.5,-14,-63,-21,7,0.005545541434342238,0.000231233698347707,-0.0008666022403286944
141,-11.5,-51.3,-8.8,13.5,31.5,21.5,-14,-63,-21,11,-0.0035254853242665902,-0.018808967873801125,-0.0034421246280451397
142,-13.4,-17.5,-9.5,15.0,31.0,21.5,-29,-8,22,4,-0.00381309027468974,0.005395675574300146,-0.011571556518976229
143,-12.1,-51.0,-5.6,13.5,31.5,21.5,-6,-71,10,9,0.0006676983479604014,-0.0016343617973239,-0.006661966568226003
